"","team","season","pts_pct"
"272","PIT","1995-96",0.622
"273","PIT","1994-95",0.635
"274","PIT","1993-94",0.601
"275","PIT","1992-93",0.708
"276","PIT","1991-92",0.544
"277","PIT","1990-91",0.55
"278","PIT","1989-90",0.45
"279","PIT","1988-89",0.544
"280","PIT","1987-88",0.506
"281","PIT","1986-87",0.45
"282","PIT","1985-86",0.475
"283","PIT","1984-85",0.331
"284","PIT","1983-84",0.238
"285","PIT","1982-83",0.281
"286","PIT","1981-82",0.469
"287","PIT","1980-81",0.456
"288","PIT","1979-80",0.456
"289","PIT","1978-79",0.531
"290","PIT","1977-78",0.425
"291","PIT","1976-77",0.506
"292","PIT","1975-76",0.513
"293","PIT","1974-75",0.556
"294","PIT","1973-74",0.417
"295","NJD","2023-24",0.5
"296","NJD","2022-23",0.683
"297","NJD","2021-22",0.384
"298","NJD","2020-21",0.402
"299","NJD","2019-20",0.493
"300","NJD","2018-19",0.439
"301","NJD","2017-18",0.591
"302","NJD","2016-17",0.427
"303","NJD","2015-16",0.512
"304","NJD","2014-15",0.476
"305","NJD","2013-14",0.537
"306","NJD","2012-13",0.5
"307","NJD","2011-12",0.622
"308","NJD","2010-11",0.494
"309","NJD","2009-10",0.628
"310","NJD","2008-09",0.646
"311","NJD","2007-08",0.604
"312","NJD","2006-07",0.652
"313","NJD","2005-06",0.616
"314","NJD","2003-04",0.61
"315","NJD","2002-03",0.659
"316","NJD","2001-02",0.579
"317","NJD","2000-01",0.677
"318","NJD","1999-00",0.628
"319","NJD","1998-99",0.64
"320","NJD","1997-98",0.652
"321","NJD","1996-97",0.634
"322","NJD","1995-96",0.524
"323","NJD","1994-95",0.542
"324","NJD","1993-94",0.631
"325","NJD","1992-93",0.518
"326","NJD","1991-92",0.544
"327","NJD","1990-91",0.494
"328","NJD","1989-90",0.519
"329","NJD","1988-89",0.413
"330","NJD","1987-88",0.513
"331","NJD","1986-87",0.4
"332","NJD","1985-86",0.369
"333","NJD","1984-85",0.338
"334","NJD","1983-84",0.256
"335","NJD","1982-83",0.3
"336",NA,"1981-82",0.306
"337",NA,"1980-81",0.356
"338",NA,"1979-80",0.319
"339",NA,"1978-79",0.263
"340",NA,"1977-78",0.369
"341",NA,"1976-77",0.338
"342",NA,"1975-76",0.225
"343",NA,"1974-75",0.256
"344","CBJ","2023-24",0.419
"345","CBJ","2022-23",0.36
"346","CBJ","2021-22",0.494
"347","CBJ","2020-21",0.429
"348","CBJ","2019-20",0.579
"349","CBJ","2018-19",0.598
"350","CBJ","2017-18",0.591
"351","CBJ","2016-17",0.659
"352","CBJ","2015-16",0.463
"353","CBJ","2014-15",0.543
"354","CBJ","2013-14",0.567
"355","CBJ","2012-13",0.573
"356","CBJ","2011-12",0.396
"357","CBJ","2010-11",0.494
"358","CBJ","2009-10",0.482
"359","CBJ","2008-09",0.561
"360","CBJ","2007-08",0.488
"361","CBJ","2006-07",0.445
"362","CBJ","2005-06",0.451
"363","CBJ","2003-04",0.378
"364","CBJ","2002-03",0.421
"365","CBJ","2001-02",0.348
"366","CBJ","2000-01",0.433
"367","BOS","2023-24",0.688
"368","BOS","2022-23",0.823
"369","BOS","2021-22",0.652
"370","BOS","2020-21",0.652
"371","BOS","2019-20",0.714
"372","BOS","2018-19",0.652
"373","BOS","2017-18",0.683
"374","BOS","2016-17",0.579
"375","BOS","2015-16",0.567
"376","BOS","2014-15",0.585
"377","BOS","2013-14",0.713
"378","BOS","2012-13",0.646
"379","BOS","2011-12",0.622
"380","BOS","2010-11",0.628
"381","BOS","2009-10",0.555
"382","BOS","2008-09",0.707
"383","BOS","2007-08",0.573
